age,co2
111876.80,257.93
112636.06,256.79
112941.73,263.12
113119.27,264.75
113678.64,260.58
114250.00,267.90
114815.39,275.07
115446.67,276.96
115908.58,273.16
116475.58,273.63
117185.55,274.03
117619.36,274.98
118658.27,277.72
119242.52,267.74
119715.50,274.59
120144.12,268.73
120542.91,276.82
121426.02,279.48
121841.97,276.61
122100.00,278.25
122292.36,279.00
123013.95,279.16
123630.91,274.60
123959.48,275.87
124404.52,281.54
124817.45,275.52
125292.63,276.81
126013.70,275.15
126699.91,273.02
126962.03,274.93
127313.83,275.78
127503.55,276.88
128024.48,276.03
128172.67,280.72
128466.73,285.76
128878.00,271.08
129078.04,268.44
129655.64,260.61
130373.03,251.84
130818.36,250.84
131322.20,241.13
131976.24,232.28
132709.88,228.00
132931.96,224.63
133775.81,222.74
134522.28,212.43
136565.55,203.74
137763.42,199.18
138834.30,198.55
139949.97,192.75
142360.56,196.51
143651.30,194.59
144799.59,196.02
146108.24,193.59
148233.47,195.81
149466.15,201.78
150594.88,202.51
151444.85,202.35
153774.66,198.78
154889.13,196.30
156306.82,189.38
158666.00,189.00
159716.00,185.50
160155.00,187.50
163858.00,204.30
164334.65,196.50
166143.00,191.60
166784.00,190.10
167914.10,186.70
168745.50,183.80
169514.40,196.60
171939.00,197.80
174442.00,197.70
175833.35,196.00
176853.00,190.30
177533.93,189.40
177729.50,190.10
179873.00,207.70
181302.00,213.20
182196.00,217.70
183258.00,198.10
184371.00,199.70
186411.00,203.40
188437.00,210.70
189806.50,231.30
191254.50,231.40
191964.08,220.30
193074.50,218.00
195126.50,226.50
195799.50,220.00
197587.35,226.40
198327.45,241.20
198938.00,242.60
201752.00,250.90
202744.50,239.10
203842.00,247.60
205203.28,244.40
205575.76,231.90
205944.58,232.20
206359.94,228.60
206896.85,226.30
207240.30,229.40
207622.89,231.40
208108.78,238.10
208274.53,237.20
208821.57,230.00
209082.26,240.50
209445.04,242.20
209966.09,244.60
210175.17,243.90
210832.07,247.20
211058.47,252.00
211577.84,246.90
212078.75,239.50
212533.08,257.40
213330.35,243.40
214158.81,251.20
215080.75,241.40
215912.34,240.30
216306.15,242.60
216864.97,247.50
217415.64,251.70
217694.96,251.10
218200.79,245.30
219067.61,240.50
220935.62,214.10
221697.46,216.10
222539.58,207.10
223129.04,208.80
224271.51,205.60
226259.83,203.30
226849.84,215.70
227719.98,235.50
228439.42,234.50
228766.99,233.10
229572.05,224.50
231129.66,232.40
232191.77,233.90
232856.06,241.60
235990.86,245.20
236426.01,252.10
236850.80,241.40
237391.66,247.40
237905.53,243.10
238425.34,239.10
239008.26,245.60
239387.04,245.80
239738.66,247.40
240190.37,252.80
241333.05,259.70
241855.40,263.20
242685.46,279.00
243138.52,280.20
244121.77,263.70
244582.34,252.30
245057.01,249.90
245564.00,236.70
246188.81,230.40
246870.49,219.40
249099.87,214.70
251390.57,200.20
252132.26,213.90
252953.72,195.40
253756.68,196.70
254587.11,195.40
256298.66,199.00
257060.59,201.90
257908.07,204.00
259396.90,203.90
260894.24,209.60
261293.92,205.70
262054.58,208.90
262817.10,214.60
264583.76,228.10
266134.45,199.90
267007.00,211.70
268257.83,188.70
268995.50,187.20
269940.47,194.20
271036.04,198.80
272149.64,184.70
273165.83,190.40
274164.08,193.90
275154.64,194.10
276257.72,198.40
277443.00,193.20
278590.91,202.20
279619.05,204.50
280558.95,211.00
281400.74,215.30
282592.89,223.70
284434.68,231.30
285931.32,228.00
286609.96,226.40
287443.86,231.40
287820.05,230.40
288286.43,231.00
290184.50,234.90
290863.79,220.40
