age,del_18O,del_D,d-excess,Tsite,Tsource,Tsource-Tsite
98900,-57.42,-444.06,15.27,-3.03,-1.39,1.65
99100,-57.33,-443.43,15.18,-2.95,-1.37,1.57
99300,-57.32,-443.38,15.21,-2.92,-1.34,1.59
99500,-57.37,-443.50,15.47,-2.84,-1.10,1.74
99700,-57.22,-442.29,15.46,-2.61,-0.92,1.69
99900,-56.93,-440.12,15.36,-2.23,-0.68,1.55
100100,-56.76,-438.81,15.27,-2.01,-0.55,1.46
100300,-56.74,-438.78,15.14,-2.05,-0.67,1.39
100500,-56.56,-437.75,14.69,-2.02,-0.91,1.11
100700,-56.54,-437.82,14.48,-2.12,-1.12,1.00
100900,-56.69,-438.87,14.62,-2.27,-1.15,1.12
101100,-56.68,-438.64,14.77,-2.17,-0.97,1.20
101300,-56.61,-438.42,14.45,-2.25,-1.23,1.02
101500,-56.67,-439.24,14.10,-2.54,-1.68,0.87
101700,-56.59,-438.34,14.35,-2.27,-1.29,0.98
101900,-56.61,-438.65,14.27,-2.36,-1.41,0.95
102100,-56.75,-439.85,14.13,-2.65,-1.73,0.92
102300,-56.84,-440.38,14.37,-2.66,-1.58,1.08
102500,-56.87,-440.10,14.88,-2.40,-1.05,1.35
102700,-56.94,-440.53,15.01,-2.43,-0.99,1.44
102900,-56.89,-439.82,15.32,-2.17,-0.59,1.59
103100,-56.81,-439.19,15.29,-2.06,-0.51,1.55
103300,-56.68,-437.82,15.59,-1.68,0.00,1.67
103500,-56.63,-437.58,15.48,-1.67,-0.07,1.61
103700,-56.52,-436.89,15.28,-1.61,-0.14,1.48
103900,-56.43,-436.61,14.85,-1.73,-0.49,1.24
104100,-56.65,-438.18,15.01,-1.97,-0.58,1.39
104300,-56.68,-439.20,14.26,-2.46,-1.43,1.03
104500,-56.74,-439.66,14.25,-2.55,-1.51,1.05
104700,-56.98,-441.68,14.17,-2.98,-1.89,1.09
104900,-57.20,-443.11,14.52,-3.11,-1.76,1.35
105100,-57.32,-443.71,14.85,-3.10,-1.54,1.56
105300,-57.67,-445.78,15.62,-3.20,-1.12,2.08
105500,-57.88,-447.24,15.78,-3.42,-1.18,2.24
105700,-57.99,-447.95,15.99,-3.47,-1.07,2.40
105900,-58.09,-448.42,16.27,-3.45,-0.86,2.58
106100,-58.00,-447.60,16.38,-3.24,-0.62,2.63
106300,-57.81,-446.05,16.46,-2.91,-0.28,2.63
106500,-57.69,-445.02,16.52,-2.68,-0.04,2.64
106700,-57.46,-442.79,16.88,-2.10,0.67,2.77
106900,-57.25,-441.35,16.66,-1.91,0.70,2.60
107100,-57.16,-440.97,16.32,-1.96,0.45,2.42
107300,-57.25,-441.80,16.21,-2.17,0.23,2.39
107500,-57.22,-441.44,16.31,-2.05,0.39,2.44
107700,-57.38,-442.89,16.13,-2.41,-0.01,2.40
107900,-57.55,-444.28,16.13,-2.68,-0.22,2.46
108100,-57.60,-444.68,16.16,-2.74,-0.25,2.49
108300,-57.30,-442.27,16.16,-2.27,0.13,2.40
108500,-57.22,-441.64,16.16,-2.15,0.22,2.37
108700,-57.16,-441.13,16.14,-2.06,0.28,2.34
108900,-57.09,-440.62,16.13,-1.97,0.34,2.31
109100,-57.16,-440.92,16.35,-1.94,0.50,2.44
109300,-57.37,-442.74,16.25,-2.33,0.11,2.45
109500,-57.46,-443.70,15.95,-2.64,-0.33,2.31
109700,-57.52,-444.56,15.60,-2.95,-0.81,2.14
109900,-57.74,-446.47,15.47,-3.37,-1.24,2.13
110100,-57.99,-448.56,15.33,-3.83,-1.72,2.12
110300,-58.08,-449.18,15.42,-3.92,-1.75,2.18
110500,-58.31,-450.66,15.80,-4.06,-1.64,2.43
110700,-58.57,-452.23,16.31,-4.17,-1.43,2.75
110900,-58.67,-453.14,16.25,-4.38,-1.64,2.73
111100,-58.70,-453.49,16.10,-4.50,-1.86,2.65
111300,-59.01,-455.78,16.29,-4.88,-2.06,2.82
111500,-59.19,-457.19,16.33,-5.15,-2.28,2.87
111700,-59.25,-457.82,16.21,-5.32,-2.51,2.81
111900,-59.37,-458.26,16.71,-5.21,-2.14,3.08
112100,-59.48,-458.63,17.21,-5.10,-1.76,3.34
112300,-59.35,-457.67,17.16,-4.93,-1.68,3.25
