bag,ptop,age,dd,d18o,deutex
250,136.95,3669.58,-401.6,-51.44,9.9
251,137.5,3687.92,-387.2,-49.54,9.1
252,138.05,3706.39,-387.8,-49.63,9.2
253,138.6,3724.93,-404.9,-51.79,9.4
254,139.15,3743.6,-388.9,-49.70,8.7
255,139.7,3762.37,-394.9,-50.65,10.3
256,140.25,3781.26,-393.8,-50.22,8.0
257,140.8,3800.26,-399.6,-51.32,11.0
258,141.35,3819.33,-400.9,-51.31,9.6
259,141.9,3838.48,-391,-49.93,8.4
260,142.45,3857.68,-396.1,-50.61,8.8
261,143,3876.92,-398.5,-50.85,8.3
262,143.55,3896.17,-396.5,-50.62,8.5
263,144.1,3915.43,-397.8,-50.85,9.0
264,144.65,3934.67,-392.9,-50.18,8.5
265,145.2,3953.9,-398.7,-51.14,10.4
266,145.75,3973.1,-398.9,-51.07,9.7
267,146.3,3992.27,-390.6,-49.91,8.7
268,146.85,4011.42,-390.4,-49.97,9.4
269,147.4,4030.55,-402.3,-51.36,8.6
270,147.95,4049.67,-389.9,-49.67,7.5
271,148.5,4068.8,-390.3,-49.82,8.3
272,149.05,4087.93,-398.8,-50.82,7.8
273,149.6,4107.06,-397.8,-50.75,8.2
274,150.15,4126.2,-394.9,-50.31,7.6
275,150.7,4145.34,-392.2,-50.03,8.0
276,151.25,4164.48,-404.7,-51.83,9.9
277,151.8,4183.62,-391.2,-49.96,8.5
278,152.35,4202.77,-387.3,-49.49,8.6
279,152.9,4221.94,-396.4,-50.47,7.4
280,153.45,4241.13,-387,-49.40,8.2
281,154,4260.38,-398.1,-50.86,8.8
282,154.55,4279.66,-401.4,-51.31,9.1
283,155.1,4298.99,-395.2,-50.46,8.5
284,155.65,4318.33,-393.4,-50.22,8.4
285,156.2,4337.71,-394.9,-50.45,8.7
286,156.75,4357.1,-397.1,-50.83,9.5
287,157.3,4376.5,-400.6,-51.17,8.8
288,157.85,4395.91,-393,-50.23,8.8
289,158.4,4415.33,-387.1,-49.51,9.0
290,158.95,4434.78,-397.5,-50.86,9.4
291,159.5,4454.26,-390.4,-50.00,9.6
292,160.05,4473.8,-399.3,-51.07,9.3
293,160.6,4493.37,-397.5,-50.86,9.4
294,161.15,4512.98,-399.9,-51.23,9.9
295,161.7,4532.62,-395,-50.44,8.5
296,162.25,4552.3,-394.1,-50.41,9.2
297,162.8,4572.01,-393.4,-49.99,6.5
298,163.35,4591.74,-398.4,-50.88,8.6
299,163.9,4611.52,-395.1,-50.64,10.0
300,164.45,4631.33,-396,-50.62,9.0
301,165,4651.2,-397.3,-50.72,8.5
302,165.55,4671.08,-389.3,-49.84,9.4
303,166.1,4691.02,-399.6,-50.91,7.7
304,166.65,4710.96,-402.3,-51.38,8.7
305,167.2,4730.9,-396.7,-50.85,10.1
306,167.75,4750.8,-397.2,-50.82,9.4
307,168.3,4770.67,-402,-51.24,7.9
308,168.85,4790.45,-396.9,-50.73,8.9
309,169.4,4810.18,-390.9,-49.94,8.6
310,169.95,4829.82,-393.4,-50.38,9.6
311,170.5,4849.43,-395.9,-50.53,8.3
312,171.05,4869,-395.1,-50.49,8.8
313,171.6,4888.56,-392.7,-50.14,8.4
314,172.15,4908.12,-389,-49.86,9.9
315,172.7,4927.69,-397.9,-50.93,9.5
316,173.25,4947.29,-398.9,-51.00,9.1
317,173.8,4966.9,-396.8,-50.54,7.5
318,174.35,4986.51,-396.6,-50.67,8.8
319,174.9,5006.11,-392.7,-50.24,9.2
320,175.45,5025.7,-400.6,-51.33,10.0
321,176,5045.25,-396.3,-50.47,7.5
322,176.55,5064.78,-395.6,-50.56,8.9
323,177.1,5084.27,-393.3,-50.12,7.7
324,177.65,5103.75,-391.4,-50.04,8.9
325,178.2,5123.23,-391.3,-50.05,9.1
326,178.75,5142.72,-393.2,-50.35,9.6
327,179.3,5162.23,-397.6,-50.77,8.6
328,179.85,5181.79,-395.8,-50.56,8.7
329,180.4,5201.38,-403.1,-51.75,10.9
330,180.95,5221.02,-396.3,-50.74,9.6
331,181.5,5240.7,-390.6,-49.85,8.2
332,182.05,5260.47,-396,-50.46,7.7
333,182.6,5280.32,-390.6,-49.86,8.3
334,183.15,5300.29,-396.3,-50.61,8.6
335,183.7,5320.39,-394.5,-50.42,8.9
336,184.25,5340.63,-391.4,-50.16,9.9
337,184.8,5361,-407.6,-52.12,9.4
338,185.35,5381.47,-401.2,-51.23,8.6
339,185.9,5402,-402.4,-51.41,8.9
340,186.45,5422.56,-395,-50.56,9.5
341,187,5443.07,-402.5,-51.56,10.0
342,187.55,5463.52,-407.9,-52.20,9.7
343,188.1,5483.83,-399.6,-51.06,8.9
344,188.65,5504.04,-394.6,-50.48,9.2
345,189.2,5524.09,-387.2,-49.54,9.1
346,189.75,5544.01,-396.2,-50.65,9.0
347,190.3,5563.83,-394,-50.49,9.9
348,190.85,5583.52,-399.1,-51.11,9.8
349,191.4,5603.13,-395.2,-50.57,9.4
350,191.95,5622.63,-396,-50.54,8.3
351,192.5,5642.06,-400.4,-51.11,8.5
352,193.05,5661.39,-391.1,-50.07,9.5
353,193.6,5680.66,-399.2,-51.01,8.9
354,194.15,5699.86,-386.2,-49.35,8.6
355,194.7,5719.05,-398.9,-51.17,10.5
356,195.25,5738.22,-389,-49.80,9.4
357,195.8,5757.42,-388.4,-49.76,9.7
358,196.35,5776.66,-400.4,-51.20,9.2
359,196.9,5796.01,-392.7,-50.14,8.4
360,197.45,5815.42,-391,-49.96,8.7
361,198,5834.98,-392.5,-50.15,8.7
362,198.55,5854.61,-397.7,-50.80,8.7
363,199.1,5874.36,-399.8,-51.11,9.1
364,199.65,5894.17,-398.7,-51.02,9.5
365,200.2,5914.04,-403.7,-51.70,9.9
366,200.75,5933.93,-397.4,-50.88,9.6
367,201.3,5953.83,-391.7,-50.02,8.5
368,201.85,5973.72,-394.5,-50.55,9.9
369,202.4,5993.6,-396.8,-50.83,9.8
370,202.95,6013.48,-399.2,-51.12,9.8
371,203.5,6033.36,-394,-50.36,8.9
372,204.05,6053.26,-391.4,-50.05,9.0
373,204.6,6073.18,-403.5,-51.60,9.3
374,205.15,6093.14,-389.5,-49.80,8.9
375,205.7,6113.14,-399.9,-51.25,10.1
376,206.25,6133.19,-397.4,-50.95,10.2
377,206.8,6153.31,-398.6,-50.89,8.5
378,207.35,6173.47,-394.1,-50.42,9.3
379,207.9,6193.72,-398.4,-51.01,9.7
380,208.45,6214,-401.7,-51.37,9.3
381,209,6234.37,-392.6,-50.35,10.2
382,209.55,6254.77,-395.4,-50.70,10.2
383,210.1,6275.23,-402.1,-51.54,10.2
384,210.65,6295.7,-403.6,-51.72,10.2
385,211.2,6316.2,-396.5,-50.62,8.5
386,211.75,6336.69,-402.5,-51.53,9.7
387,212.3,6357.18,-398.8,-51.11,10.1
388,212.85,6377.66,-397,-50.79,9.3
389,213.4,6398.15,-389.4,-49.92,10.0
390,213.95,6418.67,-395,-50.48,8.8
391,214.5,6439.22,-404.9,-51.65,8.3
392,215.05,6459.83,-402.2,-51.44,9.3
393,215.6,6480.5,-389.2,-49.77,9.0
394,216.15,6501.24,-397,-50.84,9.7
395,216.7,6522.05,-401.8,-51.54,10.5
396,217.25,6542.92,-398.4,-51.18,11.0
397,217.8,6563.83,-407.8,-52.15,9.4
398,218.35,6584.76,-395.4,-50.63,9.6
